#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
           0   6.89095e+07       693086
        0.03   5.47082e+07       525134
        0.06   2.68626e+07       293041
        0.09   7.92521e+06       216700
        0.12   1.87113e+06       121264
        0.15        951649      44865.3
        0.18        650013      28867.8
        0.21        418083      19744.6
        0.24        265354      12100.9
        0.27        199718      11592.3
         0.3        204305      8427.32
        0.33        200711      6570.59
        0.36        177747      4915.59
        0.39        170816      3670.83
        0.42        185076      3575.85
        0.45        196388      3735.78
        0.48        188740       3175.3
        0.51        180665       2914.6
        0.54        191765      3103.44
        0.57        205604      2905.11
         0.6        198040      2607.89
        0.63        181464      2296.81
        0.66        175495       2209.7
        0.69        172655      2127.76
        0.72        158784      2078.26
        0.75        140207      1931.64
        0.78        123147      1695.67
        0.81        103380       1567.2
        0.84       83205.4      1358.84
        0.87       69983.9      1232.26
         0.9         62872      1139.45
        0.93       56660.6      1136.61
        0.96       51161.3      1163.94
        0.99       50919.4      1140.48
        1.02       55813.3      1146.26
        1.05       58817.9      1119.09
        1.08       56294.8      1038.42
        1.11       55262.5      1025.22
        1.14       61847.9      1077.72
        1.17       74666.3      1178.31
         1.2       90389.8      1217.96
        1.23        107206      1274.12
        1.26        120735      1318.52
        1.29        128232      1426.08
        1.32        132284      1448.38
        1.35        135481      1449.21
        1.38        136865      1506.92
        1.41        136610       1522.7
        1.44        134828      1490.62
        1.47        131862      1543.35
         1.5        129645      1618.34
        1.53        127918      1649.29
        1.56        123542      1659.76
        1.59        114087      1653.18
        1.62        100950       1608.6
        1.65       88905.8      1557.83
        1.68       79439.4      1626.12
        1.71       70889.8      1643.52
        1.74         62769       1621.7
        1.77       51415.1      1667.58
         1.8       35855.3      1673.29
        1.83       20806.4      1647.64
        1.86       10480.9      1648.43
        1.89       2308.77       1658.6
        1.92      -7119.67      1638.31
        1.95      -17046.4      1619.43
        1.98      -26710.2      1610.22
        2.01      -36985.6      1602.41
        2.04      -45735.8      1576.28
        2.07        -50446      1523.43
         2.1      -53734.5      1540.14
        2.13      -57828.6      1518.18
        2.16      -60741.6      1466.99
        2.19      -62362.4      1437.44
        2.22      -63077.2       1383.7
        2.25      -63888.2      1374.27
        2.28      -64430.1      1374.16
        2.31      -65348.7      1308.67
        2.34        -64549      1247.83
        2.37        -60642       1242.4
         2.4      -56901.9      1240.12
        2.43      -55387.5      1211.46
        2.46      -55114.8      1187.09
        2.49        -55339      1170.99
        2.52        -55755      1128.96
        2.55      -55551.3      1101.83
        2.58      -54166.9      1081.17
        2.61      -53456.1      1046.37
        2.64        -53788      1033.59
        2.67      -52730.1      1016.35
         2.7      -51006.8      958.523
        2.73      -49309.9      919.299
        2.76      -46910.3        915.9
        2.79      -44726.3      912.481
        2.82      -44622.4      863.747
        2.85      -44604.4      809.971
        2.88      -43378.6      778.572
        2.91      -41213.3      757.659
        2.94      -38333.6       721.85
        2.97      -35907.3      697.167
           3      -33932.4       657.36
