# Chi2 Rg SupportVolume
6.36544e+03 1.09081e+02 2.22259e+07
2.58562e+03 1.28172e+02 2.22259e+07
2.56018e+03 1.30151e+02 2.22259e+07
2.52727e+03 1.28928e+02 2.22259e+07
2.49860e+03 1.26599e+02 2.22259e+07
2.47357e+03 1.23973e+02 2.22259e+07
2.44912e+03 1.21229e+02 2.22259e+07
2.42603e+03 1.18470e+02 2.22259e+07
2.40513e+03 1.15605e+02 2.22259e+07
2.38449e+03 1.12683e+02 2.22259e+07
2.36457e+03 1.09832e+02 2.22259e+07
2.34492e+03 1.07083e+02 2.22259e+07
2.32588e+03 1.04567e+02 2.22259e+07
2.30720e+03 1.02142e+02 2.22259e+07
2.28873e+03 9.96422e+01 2.22259e+07
2.27078e+03 9.73022e+01 2.22259e+07
2.25297e+03 9.50518e+01 2.22259e+07
2.23561e+03 9.28273e+01 2.22259e+07
2.21830e+03 9.05464e+01 2.22259e+07
2.20163e+03 8.85609e+01 2.22259e+07
2.18554e+03 8.66361e+01 4.39920e+06
2.16956e+03 9.66782e+01 4.39920e+06
1.18834e+04 8.33387e+01 4.39920e+06
1.30853e+04 8.33667e+01 4.39920e+06
1.28170e+04 8.33462e+01 4.39920e+06
1.25041e+04 8.32980e+01 4.39920e+06
1.21726e+04 8.31999e+01 4.39920e+06
1.18329e+04 8.30552e+01 4.39920e+06
1.14901e+04 8.28939e+01 4.39920e+06
1.11492e+04 8.27079e+01 4.39920e+06
1.08142e+04 8.24974e+01 4.39920e+06
1.04868e+04 8.22734e+01 4.39920e+06
1.01655e+04 8.20476e+01 4.39920e+06
9.85296e+03 8.18177e+01 4.39920e+06
9.55113e+03 8.15908e+01 4.39920e+06
9.25897e+03 8.13691e+01 4.39920e+06
8.97813e+03 8.11349e+01 4.39920e+06
8.70674e+03 8.08934e+01 4.39920e+06
8.44492e+03 8.06408e+01 4.39920e+06
8.19307e+03 8.03989e+01 4.39920e+06
7.94997e+03 8.01571e+01 2.59928e+06
7.71650e+03 7.48503e+01 2.59928e+06
4.25503e+03 7.77316e+01 2.59928e+06
4.77110e+03 7.79208e+01 2.59928e+06
4.76355e+03 7.79210e+01 2.59928e+06
4.72681e+03 7.78292e+01 2.59928e+06
4.67658e+03 7.76998e+01 2.59928e+06
4.62009e+03 7.75439e+01 2.59928e+06
4.56117e+03 7.73580e+01 2.59928e+06
4.50114e+03 7.71588e+01 2.59928e+06
4.44030e+03 7.69554e+01 2.59928e+06
4.37892e+03 7.67445e+01 2.59928e+06
4.31787e+03 7.65345e+01 2.59928e+06
4.25710e+03 7.63138e+01 2.59928e+06
4.19730e+03 7.60965e+01 2.59928e+06
4.13827e+03 7.58787e+01 2.59928e+06
4.07966e+03 7.56594e+01 2.59928e+06
4.02220e+03 7.54385e+01 2.59928e+06
3.96625e+03 7.52228e+01 2.59928e+06
3.91120e+03 7.50047e+01 2.59928e+06
3.85673e+03 7.47919e+01 2.02850e+06
3.80330e+03 7.69490e+01 2.02850e+06
2.89416e+03 7.81580e+01 2.02850e+06
3.05709e+03 7.80446e+01 2.02850e+06
3.04080e+03 7.78778e+01 2.02850e+06
3.01791e+03 7.76873e+01 2.02850e+06
2.99207e+03 7.74841e+01 2.02850e+06
2.96468e+03 7.72741e+01 2.02850e+06
2.93611e+03 7.70597e+01 2.02850e+06
2.90699e+03 7.68451e+01 2.02850e+06
2.87764e+03 7.66313e+01 2.02850e+06
2.84834e+03 7.64157e+01 2.02850e+06
2.81906e+03 7.62000e+01 2.02850e+06
2.78973e+03 7.59837e+01 2.02850e+06
2.76044e+03 7.57689e+01 2.02850e+06
2.73155e+03 7.55570e+01 2.02850e+06
2.70291e+03 7.53455e+01 2.02850e+06
2.67455e+03 7.51382e+01 2.02850e+06
2.64638e+03 7.49347e+01 2.02850e+06
2.61839e+03 7.47333e+01 2.02850e+06
2.59051e+03 7.45329e+01 1.65346e+06
2.56272e+03 7.88655e+01 1.65346e+06
1.67295e+03 7.88634e+01 1.65346e+06
1.78512e+03 7.88562e+01 1.65346e+06
1.78623e+03 7.88008e+01 1.65346e+06
1.78231e+03 7.87095e+01 1.65346e+06
1.77565e+03 7.85918e+01 1.65346e+06
1.76763e+03 7.84525e+01 1.65346e+06
1.75873e+03 7.82998e+01 1.65346e+06
1.74925e+03 7.81394e+01 1.65346e+06
1.73941e+03 7.79727e+01 1.65346e+06
1.72929e+03 7.78019e+01 1.65346e+06
1.71899e+03 7.76264e+01 1.65346e+06
1.70855e+03 7.74476e+01 1.65346e+06
1.69801e+03 7.72678e+01 1.65346e+06
1.68741e+03 7.70878e+01 1.65346e+06
1.67691e+03 7.69088e+01 1.65346e+06
1.66642e+03 7.67297e+01 1.65346e+06
1.65589e+03 7.65506e+01 1.65346e+06
1.64533e+03 7.63748e+01 1.65346e+06
1.63485e+03 7.62013e+01 1.43172e+06
1.62444e+03 7.60318e+01 1.43172e+06
1.12444e+03 7.02074e+01 1.43172e+06
1.19124e+03 7.02826e+01 1.43172e+06
1.18856e+03 7.03106e+01 1.43172e+06
1.18400e+03 7.03014e+01 1.43172e+06
1.17875e+03 7.02697e+01 1.43172e+06
1.17321e+03 7.02211e+01 1.43172e+06
1.16753e+03 7.01615e+01 1.43172e+06
1.16179e+03 7.00934e+01 1.43172e+06
1.15606e+03 7.00203e+01 1.43172e+06
1.15031e+03 6.99423e+01 1.43172e+06
1.14467e+03 6.98629e+01 1.43172e+06
1.13917e+03 6.97847e+01 1.43172e+06
1.13376e+03 6.97067e+01 1.43172e+06
1.12844e+03 6.96295e+01 1.43172e+06
1.12322e+03 6.95513e+01 1.43172e+06
1.11806e+03 6.94733e+01 1.43172e+06
1.11295e+03 6.93949e+01 1.43172e+06
1.10787e+03 6.93165e+01 1.43172e+06
1.10281e+03 6.92383e+01 1.28390e+06
1.09777e+03 6.84739e+01 1.28390e+06
8.55513e+02 6.11341e+01 1.28390e+06
