#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
           0   2.15923e+07       242407
        0.02   2.00874e+07       221779
        0.04   1.61983e+07       175918
        0.06   1.13905e+07       131834
        0.08   7.09177e+06        98246
         0.1   4.03478e+06      74984.1
        0.12   2.20541e+06      57240.9
        0.14   1.21946e+06      41974.1
        0.16        701139      28838.6
        0.18        425740      20439.1
         0.2        282305      14960.4
        0.22        208932      11163.1
        0.24        168169       9704.8
        0.26        143203      8898.49
        0.28        129537      7941.36
         0.3        124229       6905.9
        0.32        122090      5596.42
        0.34        118269      4229.22
        0.36        111285       3174.6
        0.38        103236      2753.53
         0.4       97491.4      2733.63
        0.42       95875.2      2615.33
        0.44       97570.9      2416.09
        0.46        100324      2283.67
        0.48        102340      2186.29
         0.5        103239      2027.65
        0.52        104110      1824.38
        0.54        106407      1627.39
        0.56        110982      1532.13
        0.58        116271      1460.51
         0.6        120420      1470.81
        0.62        120721      1530.73
        0.64        116750       1559.9
        0.66        110258      1424.59
        0.68        103435      1388.55
         0.7       96170.3      1291.24
        0.72       88505.2      1195.01
        0.74       79913.3      1133.31
        0.76       71810.6      1019.48
        0.78       64911.1      948.106
         0.8       59505.5      843.707
        0.82       55098.9      825.826
        0.84       51822.8      787.351
        0.86       49879.8      733.222
        0.88       49106.4      675.714
         0.9       49239.5      726.833
        0.92       49384.5      720.688
        0.94       48792.8      718.075
        0.96       47228.6      690.283
        0.98       45483.9      662.091
           1       43896.4      633.152
        1.02       43299.6      620.451
        1.04         43903      620.579
        1.06       45235.2      641.675
        1.08       47015.1      643.849
         1.1       49476.2        658.2
        1.12       53183.5      658.591
        1.14       58358.2      668.926
        1.16       63687.2       698.06
        1.18       68532.7      740.158
         1.2       72730.7      768.953
        1.22         76861      786.098
        1.24       81764.1      803.819
        1.26       87374.7      850.962
        1.28       93055.3      903.896
         1.3         98460      912.994
        1.32        102800      911.824
        1.34        106145      912.029
        1.36        108984      932.995
        1.38        111660      935.283
         1.4        114184      955.184
        1.42        116598      984.944
        1.44        118295      979.588
        1.46        118785      1005.62
        1.48        117487      993.614
         1.5        114547      1023.15
        1.52        110692      1017.72
        1.54        107750      978.216
        1.56        106453       986.33
        1.58        106356      1002.35
         1.6        107283      1025.72
        1.62        109023      1027.19
        1.64        111440      1050.53
        1.66        113410      1073.14
        1.68        113040      1091.83
         1.7        109887      1081.34
        1.72        105340      1043.96
        1.74        100730      1014.01
        1.76       96336.2      996.787
        1.78       91917.9      985.453
         1.8       87509.6      976.349
        1.82       83345.2      986.877
        1.84       80653.7      1002.18
        1.86         78973      1018.58
        1.88       78155.6       1022.7
         1.9         77348      1042.91
        1.92       76438.9      1033.97
        1.94       75368.8      1017.93
        1.96       74239.2      1012.17
        1.98       72708.4      1005.41
           2         70908      1012.57
